timestamp,Lat,Long,yaw,Accel_X,Accel_Y,Accel_Z
2274990,-7.279804,112.796839,312.75,0.38,0.31,1.06
2275000,-7.279801,112.797197,315.00,0.41,-1.94,-1.60
2275010,-7.279861,112.796944,317.25,-1.19,1.95,-0.98
2275020,-7.279168,112.797100,319.50,0.49,1.17,-0.71
2275030,-7.279816,112.797763,321.75,-1.28,-0.73,1.89
2275040,-7.279435,112.797502,324.00,0.79,1.19,-0.70
2275050,-7.279111,112.797643,326.25,1.72,0.96,-0.41
2275060,-7.279423,112.797204,328.50,-0.45,2.00,1.67
2275070,-7.279409,112.797711,330.75,0.93,-0.47,-0.46
2275080,-7.279557,112.797577,333.00,1.96,1.65,0.27
2275090,-7.278748,112.797678,335.25,1.49,-0.09,-0.73
2275100,-7.278763,112.797482,337.50,-1.25,0.66,-1.25
2275110,-7.278932,112.797695,339.75,-1.27,0.61,0.95
2275120,-7.279364,112.797734,342.00,1.73,1.33,1.44
2275130,-7.279038,112.798432,344.25,0.22,0.18,1.13
2275140,-7.279145,112.798608,346.50,-1.93,-0.49,1.45
2275150,-7.278514,112.798164,348.75,0.82,0.87,1.19
2275160,-7.279141,112.798989,351.00,1.44,0.98,1.73
2275170,-7.279237,112.798361,353.25,1.41,1.20,0.52
2275180,-7.278795,112.798571,355.50,-1.00,-1.97,-1.88
2275190,-7.279001,112.798632,357.75,-0.20,-0.01,-0.06
2275200,-7.280214,112.799153,0.00,0.05,-0.35,1.98
2275210,-7.280920,112.798830,2.25,-0.08,-0.97,-1.31
2275220,-7.280410,112.798969,4.50,-0.30,-1.64,0.11
2275230,-7.280743,112.799231,6.75,1.30,-0.48,1.74
2275240,-7.280052,112.798694,9.00,-1.36,-0.07,-0.16
2275250,-7.280413,112.799535,11.25,-0.39,1.62,-1.80
2275260,-7.280893,112.798798,13.50,0.94,-1.17,-0.96
2275270,-7.280195,112.798860,15.75,-0.38,1.16,-1.05
2275280,-7.280809,112.798739,18.00,0.42,1.02,0.80
2275290,-7.280917,112.799016,20.25,1.89,0.22,-0.54
2275300,-7.280707,112.799741,22.50,-0.60,-1.47,0.79
2275310,-7.280643,112.799825,24.75,-1.37,1.93,1.03
2275320,-7.280272,112.798984,27.00,-0.48,1.58,-1.98
2275330,-7.280150,112.799065,29.25,-0.70,0.06,1.83
2275340,-7.280437,112.799108,31.50,-0.94,-0.30,0.46
2275350,-7.280622,112.799468,33.75,1.43,0.99,-0.47
2275360,-7.280418,112.799483,36.00,-0.09,-1.80,0.62
2275370,-7.280913,112.799140,38.25,-0.54,-1.10,0.55
2275380,-7.281064,112.799760,40.50,-1.79,0.15,-1.39
2275390,-7.280316,112.799943,42.75,0.85,0.15,1.34
2275400,-7.281084,112.799824,45.00,-0.74,-1.15,1.46
2275410,-7.280366,112.800051,47.25,-0.24,0.90,-0.06
2275420,-7.281112,112.799638,49.50,0.93,1.01,-1.98
2275430,-7.280256,112.799910,51.75,0.80,-1.92,0.78
2275440,-7.280779,112.799654,54.00,0.58,-0.36,0.62
2275450,-7.280791,112.799511,56.25,0.48,0.42,0.99
2275460,-7.280676,112.800404,58.50,0.12,-0.25,1.53
2275470,-7.281155,112.800152,60.75,-0.65,-1.73,-0.28
2275480,-7.281175,112.800313,63.00,0.10,0.90,-1.67
2275490,-7.281264,112.799684,65.25,-0.47,-0.82,1.18
2275500,-7.281454,112.799850,67.50,1.79,0.55,-0.70
2275510,-7.281382,112.799748,69.75,-1.36,-0.44,1.07
2275520,-7.281344,112.799874,72.00,-1.46,1.57,-1.05
2275530,-7.281339,112.800395,74.25,0.20,-0.60,-1.19
2275540,-7.281575,112.799893,76.50,-0.57,-0.53,-1.01
2275550,-7.281268,112.800630,78.75,-0.31,-1.23,-1.87
2275560,-7.281138,112.800136,81.00,-1.49,1.36,-0.79
2275570,-7.281323,112.800291,83.25,1.12,1.17,1.76
2275580,-7.281804,112.800315,85.50,-0.32,0.84,1.15
2275590,-7.281204,112.799995,87.75,-0.57,-1.03,-0.54
2275600,-7.281846,112.800104,90.00,2.00,1.53,-0.97
2275610,-7.281246,112.800222,92.25,1.65,0.62,0.56
2275620,-7.281664,112.800308,94.50,-0.83,1.62,1.44
2275630,-7.282061,112.800351,96.75,0.68,-1.70,-1.72
2275640,-7.281520,112.799922,99.00,1.82,-0.32,-1.35
2275650,-7.282267,112.800180,101.25,1.73,0.71,-0.94
2275660,-7.281943,112.799890,103.50,0.56,-1.62,-1.76
2275670,-7.282086,112.800616,105.75,-1.00,-1.76,0.43
2275680,-7.281501,112.799954,108.00,-1.74,0.04,-1.99
2275690,-7.282402,112.800267,110.25,-0.13,-1.48,0.61
2275700,-7.281901,112.799848,112.50,-0.67,0.71,1.79
2275710,-7.282244,112.800607,114.75,-1.37,-0.38,-1.41
2275720,-7.281980,112.800478,117.00,1.51,1.01,1.40
2275730,-7.282675,112.800539,119.25,-0.28,-1.57,1.83
2275740,-7.282537,112.799960,121.50,0.24,-1.18,-1.51
2275750,-7.282703,112.800122,123.75,-0.03,0.78,0.21
2275760,-7.282699,112.799856,126.00,0.66,1.10,-0.24
2275770,-7.282672,112.800139,128.25,0.80,-1.15,0.32
2275780,-7.282331,112.799964,130.50,0.91,-1.01,0.20
2275790,-7.283036,112.799632,132.75,1.64,-0.21,-1.84
2275800,-7.283059,112.799738,135.00,0.91,-1.81,-1.85
2275810,-7.282809,112.800114,137.25,-1.91,-0.80,-1.06
2275820,-7.282793,112.799825,139.50,-1.43,0.32,1.28
2275830,-7.282503,112.800117,141.75,-1.70,-0.09,0.81
2275840,-7.283056,112.799741,144.00,1.00,0.53,1.29
2275850,-7.283073,112.799945,146.25,-0.40,0.39,0.99
2275860,-7.283124,112.799468,148.50,1.93,-1.21,-1.41
2275870,-7.282743,112.800009,150.75,-1.57,-0.03,-0.10
2275880,-7.283467,112.799221,153.00,0.89,1.70,-0.82
2275890,-7.283038,112.799209,155.25,-1.20,0.62,0.11
2275900,-7.282922,112.799107,157.50,1.94,0.42,1.23
2275910,-7.283211,112.799549,159.75,1.25,0.62,-2.00
2275920,-7.282928,112.799648,162.00,1.26,-0.38,-1.58
2275930,-7.283222,112.799397,164.25,-0.83,-0.90,1.78
2275940,-7.282838,112.799582,166.50,0.04,0.29,-0.40
2275950,-7.282873,112.799513,168.75,-1.58,-1.42,-1.92
2275960,-7.283609,112.799448,171.00,1.88,-0.51,0.91
2275970,-7.283360,112.799600,173.25,-1.85,-1.01,0.67
2275980,-7.283079,112.798721,175.50,-0.19,-0.32,0.62
2275990,-7.283131,112.799099,177.75,0.75,1.98,-1.60
2276000,-7.283508,112.799196,180.00,-1.82,-0.18,-1.26
2276010,-7.282979,112.798428,182.25,-1.84,1.49,-1.83
2276020,-7.282961,112.798715,184.50,-1.32,0.58,0.28
2276030,-7.283594,112.798418,186.75,-0.16,1.45,-0.84
2276040,-7.283400,112.798429,189.00,1.13,0.95,-1.27
2276050,-7.283701,112.798683,191.25,-1.99,-0.25,-0.18
2276060,-7.283344,112.798812,193.50,0.04,1.85,-1.42
2276070,-7.283388,112.798183,195.75,0.71,1.16,-0.30
2276080,-7.283143,112.798508,198.00,-0.25,0.83,-1.79
2276090,-7.283399,112.798682,200.25,0.32,-0.12,0.05
2276100,-7.283713,112.798497,202.50,1.52,-1.46,-1.14
2276110,-7.283021,112.797816,204.75,-0.91,1.16,-1.01
2276120,-7.282795,112.798520,207.00,-0.80,-0.56,-0.68
2276130,-7.283210,112.798086,209.25,1.71,1.37,1.86
2276140,-7.282730,112.797815,211.50,-0.87,0.63,0.71
2276150,-7.283427,112.797366,213.75,-1.81,1.31,-1.30
2276160,-7.282620,112.797244,216.00,0.81,1.82,1.86
2276170,-7.282822,112.797186,218.25,-0.39,-0.61,-0.09
2276180,-7.282733,112.797937,220.50,-1.00,0.28,-1.88
2276190,-7.282988,112.797642,222.75,1.39,0.48,1.67
2276200,-7.282951,112.797099,225.00,1.48,0.70,-1.54
2276210,-7.283081,112.797351,227.25,0.79,-1.20,0.40
2276220,-7.282481,112.797068,229.50,-1.78,-0.13,-1.55
2276230,-7.282643,112.797617,231.75,0.34,1.85,-0.28
2276240,-7.283071,112.797085,234.00,0.66,1.25,1.18
2276250,-7.282988,112.797497,236.25,1.52,0.06,-1.05
2276260,-7.282156,112.797278,238.50,-0.28,-1.76,-0.43
2276270,-7.282519,112.796640,240.75,1.87,1.92,0.00
2276280,-7.282726,112.797467,243.00,1.39,1.46,1.44
2276290,-7.282386,112.797453,245.25,0.64,0.10,0.31
2276300,-7.282575,112.796824,247.50,-1.85,-1.53,-1.45
2276310,-7.282211,112.796936,249.75,0.75,-1.08,-0.57
2276320,-7.282215,112.796796,252.00,-1.05,1.81,-1.62
2276330,-7.281617,112.796585,254.25,1.07,1.13,-1.24
2276340,-7.282182,112.797199,256.50,1.25,1.51,-1.75
2276350,-7.281570,112.796365,258.75,-0.92,1.52,-0.69
2276360,-7.282143,112.797206,261.00,-0.22,0.57,-1.86
2276370,-7.281718,112.796331,263.25,1.44,0.59,1.66
2276380,-7.282008,112.797182,265.50,-0.37,0.66,-1.23
2276390,-7.281538,112.796722,267.75,-0.98,-0.57,0.97
2276400,-7.281911,112.797063,270.00,-1.67,-1.95,-1.80
2276410,-7.281828,112.796911,272.25,-0.20,-1.65,-0.93
2276420,-7.281448,112.797015,274.50,0.84,-0.73,0.13
2276430,-7.281182,112.796513,276.75,-0.66,-0.16,1.28
2276440,-7.281454,112.796435,279.00,-0.81,1.14,0.37
2276450,-7.280870,112.796276,281.25,1.68,0.93,-1.11
2276460,-7.281134,112.797021,283.50,-1.15,0.34,-0.92
2276470,-7.280597,112.796954,285.75,-1.94,1.40,0.91
2276480,-7.281175,112.796400,288.00,-1.88,0.23,-1.69
2276490,-7.280267,112.796965,290.25,0.94,-1.53,-0.49
2276500,-7.281028,112.797160,292.50,0.09,-0.01,-0.59
2276510,-7.280288,112.797116,294.75,-1.59,-0.29,-1.73
2276520,-7.280935,112.797148,297.00,1.43,1.40,1.99
2276530,-7.279943,112.796814,299.25,0.77,1.65,-0.41
2276540,-7.280663,112.796858,301.50,-1.11,-0.66,0.86
2276550,-7.279991,112.796699,303.75,1.41,-1.86,0.53
2276560,-7.280055,112.797237,306.00,-1.95,0.77,-0.26
2276570,-7.280410,112.796639,308.25,-0.04,0.75,-1.09
2276580,-7.280106,112.796906,310.50,-0.37,0.42,1.45
2276590,-7.279494,112.797011,312.75,0.21,-1.92,-0.42
2276600,-7.280236,112.797137,315.00,-1.14,1.25,0.09
2276610,-7.279464,112.797269,317.25,-1.51,1.13,0.54
2276620,-7.279747,112.797398,319.50,1.67,-1.14,-0.51
2276630,-7.279908,112.797758,321.75,-1.09,-2.00,1.70
2276640,-7.279205,112.797620,324.00,1.38,-1.92,0.08
2276650,-7.279676,112.797315,326.25,-1.88,0.69,0.53
2276660,-7.279360,112.797115,328.50,0.86,-1.94,-1.46
2276670,-7.279564,112.797812,330.75,-0.72,-1.38,1.54
2276680,-7.279550,112.797609,333.00,1.04,1.48,-1.61
2276690,-7.279415,112.797655,335.25,1.65,-0.51,0.27
2276700,-7.278687,112.798270,337.50,0.17,0.01,-0.07
2276710,-7.279185,112.797869,339.75,0.88,1.74,0.62
2276720,-7.279030,112.797746,342.00,-1.26,0.55,1.04
2276730,-7.278729,112.797864,344.25,-1.09,-1.71,0.68
2276740,-7.278750,112.798360,346.50,-1.59,0.74,-1.21
2276750,-7.279180,112.798872,348.75,-0.17,-0.22,-0.59
2276760,-7.278633,112.798033,351.00,-1.69,1.03,-0.47
2276770,-7.278765,112.798932,353.25,0.67,-0.94,1.09
2276780,-7.278759,112.798926,355.50,1.21,0.40,0.48
2276790,-7.278888,112.798778,357.75,0.26,1.45,0.42
2276800,-7.280003,112.798758,0.00,-0.05,-0.04,-0.39
2276810,-7.280950,112.799350,2.25,0.90,1.08,-1.17
2276820,-7.280390,112.798684,4.50,-1.12,0.16,-0.90
2276830,-7.280046,112.799153,6.75,-1.81,-0.48,1.38
2276840,-7.280121,112.799474,9.00,1.86,1.42,-0.49
2276850,-7.280397,112.799117,11.25,-0.95,1.98,0.88
2276860,-7.280526,112.799103,13.50,1.84,-1.74,-0.15
2276870,-7.280612,112.799114,15.75,-1.27,0.53,1.06
2276880,-7.280123,112.798928,18.00,-1.67,-0.57,-0.85
2276890,-7.280533,112.798826,20.25,-1.46,-1.18,1.21
2276900,-7.280676,112.799577,22.50,0.18,-1.90,-0.71
2276910,-7.280392,112.798889,24.75,0.20,1.62,1.07
2276920,-7.280518,112.799781,27.00,1.38,-1.66,-0.95
2276930,-7.281003,112.799903,29.25,-0.62,1.80,-1.96
2276940,-7.280067,112.799595,31.50,0.91,1.54,-1.52
2276950,-7.280733,112.799911,33.75,1.87,1.80,-0.76
2276960,-7.281043,112.799661,36.00,0.56,-0.31,1.01
2276970,-7.280169,112.799158,38.25,0.72,-0.23,0.10
2276980,-7.280841,112.799748,40.50,1.97,0.47,0.67
2276990,-7.280381,112.799792,42.75,-1.18,1.75,0.40
2277000,-7.280152,112.799289,45.00,0.14,1.68,1.53
2277010,-7.280971,112.799751,47.25,-1.39,1.52,-1.11
2277020,-7.280729,112.800019,49.50,-1.88,-0.14,1.82
2277030,-7.280313,112.799725,51.75,1.01,-0.81,1.28
2277040,-7.281161,112.799433,54.00,-0.67,-0.40,-0.85
2277050,-7.280575,112.799588,56.25,0.79,-0.71,-0.03
2277060,-7.280662,112.800438,58.50,0.92,-0.05,1.82
2277070,-7.280772,112.799708,60.75,-0.46,-1.45,1.35
2277080,-7.280641,112.800467,63.00,0.20,-0.53,-1.12
2277090,-7.280557,112.800260,65.25,-0.71,-0.17,0.81
2277100,-7.281091,112.800528,67.50,-0.71,0.78,0.68
2277110,-7.280682,112.800454,69.75,1.94,-1.27,-0.72
2277120,-7.280978,112.799929,72.00,0.16,0.50,-1.29
2277130,-7.281099,112.800170,74.25,-0.84,-0.84,-1.37
2277140,-7.281043,112.800554,76.50,-1.72,0.00,0.86
2277150,-7.281396,112.800062,78.75,-0.45,1.86,0.76
2277160,-7.281450,112.799918,81.00,0.28,-1.29,1.16
2277170,-7.281024,112.800655,83.25,-1.68,0.83,-0.91
2277180,-7.280932,112.799862,85.50,-1.94,1.73,0.16
2277190,-7.281928,112.800741,87.75,-1.50,-1.82,-1.10
2277200,-7.281995,112.800753,90.00,-0.84,-1.97,1.32
2277210,-7.281698,112.800384,92.25,1.86,1.49,1.56
2277220,-7.282051,112.800747,94.50,-0.81,-1.24,-1.63
2277230,-7.281902,112.800119,96.75,0.21,0.00,-2.00
2277240,-7.281607,112.800460,99.00,0.05,1.87,-1.28
2277250,-7.281808,112.800318,101.25,0.77,1.60,-1.86
2277260,-7.281439,112.800291,103.50,-0.52,1.79,-0.98
2277270,-7.282089,112.800269,105.75,-0.72,-1.62,1.30
2277280,-7.282346,112.800208,108.00,-1.08,-1.39,0.97
2277290,-7.281649,112.800619,110.25,-0.19,1.18,1.65
2277300,-7.281886,112.800302,112.50,0.63,0.87,-0.96
2277310,-7.282320,112.800089,114.75,-1.49,-0.88,-0.78
2277320,-7.281813,112.799876,117.00,1.03,1.14,0.02
2277330,-7.282015,112.800432,119.25,1.74,0.03,-1.49
2277340,-7.282585,112.800682,121.50,0.57,1.47,-1.39
2277350,-7.282134,112.799750,123.75,-1.27,0.85,1.07
2277360,-7.282194,112.799926,126.00,1.06,1.26,-0.65
2277370,-7.282741,112.800550,128.25,-0.33,-0.76,-0.61
2277380,-7.282354,112.800298,130.50,-1.02,0.90,1.55
2277390,-7.283069,112.800317,132.75,-1.84,-0.37,1.93
2277400,-7.282671,112.800483,135.00,0.23,-1.08,0.04
2277410,-7.282701,112.800298,137.25,0.62,1.81,-1.66
2277420,-7.282254,112.800257,139.50,0.71,-1.51,1.91
2277430,-7.282500,112.799929,141.75,0.35,-1.01,-1.68
2277440,-7.283064,112.800224,144.00,-0.10,1.51,1.12
2277450,-7.283017,112.800319,146.25,0.36,1.34,1.70
2277460,-7.282867,112.799294,148.50,2.00,1.08,0.44
2277470,-7.283112,112.799611,150.75,-0.05,-0.83,0.73
2277480,-7.282726,112.799832,153.00,-1.38,0.73,-0.81
2277490,-7.282683,112.799655,155.25,-1.54,1.62,1.34
2277500,-7.282896,112.799117,157.50,1.18,1.67,0.74
2277510,-7.283088,112.799639,159.75,-1.85,-0.18,-1.80
2277520,-7.282676,112.799672,162.00,-0.46,1.05,-0.34
2277530,-7.283232,112.799370,164.25,1.62,-0.23,-0.16
2277540,-7.282970,112.799804,166.50,-0.90,-0.10,-0.97
2277550,-7.282885,112.799051,168.75,-1.43,1.27,0.79
2277560,-7.283245,112.799487,171.00,-0.65,-1.82,-0.27
2277570,-7.282916,112.799274,173.25,0.82,1.37,-1.87
2277580,-7.282869,112.798829,175.50,0.59,-1.21,1.69
2277590,-7.283687,112.798615,177.75,-0.97,-1.16,0.60
2277600,-7.282918,112.798899,180.00,-1.56,-0.48,-0.86
2277610,-7.283510,112.799181,182.25,1.91,0.84,0.13
2277620,-7.283682,112.798668,184.50,-1.64,1.67,-0.56
2277630,-7.282829,112.798802,186.75,1.22,1.58,-0.44
2277640,-7.283505,112.798822,189.00,-1.05,0.74,-0.17
2277650,-7.283647,112.798931,191.25,0.45,-0.39,0.13
2277660,-7.282831,112.798733,193.50,-1.40,1.10,-1.37
2277670,-7.283207,112.798218,195.75,0.55,-1.22,0.30
2277680,-7.283326,112.798012,198.00,-0.44,1.94,1.25
2277690,-7.283554,112.798299,200.25,-0.08,-0.04,0.04
2277700,-7.283747,112.798520,202.50,1.77,1.19,0.89
2277710,-7.283646,112.797843,204.75,0.14,1.70,-1.45
2277720,-7.282800,112.798380,207.00,1.54,0.26,-1.20
2277730,-7.283375,112.797821,209.25,1.09,1.29,0.78
2277740,-7.283525,112.797512,211.50,1.58,-1.92,1.77
2277750,-7.282985,112.797821,213.75,-1.95,-1.32,0.10
2277760,-7.282916,112.797950,216.00,0.43,-0.58,0.28
2277770,-7.282700,112.797399,218.25,1.80,-1.70,-1.42
2277780,-7.283149,112.797667,220.50,1.16,-1.33,0.52
2277790,-7.282509,112.797282,222.75,0.71,-1.60,-1.52
2277800,-7.282493,112.797848,225.00,-0.31,1.59,-1.85
2277810,-7.282744,112.797755,227.25,1.95,1.48,1.28
2277820,-7.283303,112.797809,229.50,-0.58,1.75,-0.46
2277830,-7.282746,112.797501,231.75,0.30,-1.63,0.44
2277840,-7.282659,112.797516,234.00,-0.99,1.69,1.55
2277850,-7.283051,112.796999,236.25,1.80,1.89,-1.92
2277860,-7.283032,112.797145,238.50,0.83,-1.62,-0.46
2277870,-7.282678,112.796805,240.75,-1.27,-1.79,0.41
2277880,-7.282428,112.797009,243.00,-0.36,-1.39,1.01
2277890,-7.282861,112.796607,245.25,1.76,-0.13,-0.33
2277900,-7.282732,112.797190,247.50,-0.60,0.40,1.11
2277910,-7.282631,112.797091,249.75,-1.30,1.05,-0.56
2277920,-7.282555,112.796628,252.00,-0.29,0.72,-1.94
2277930,-7.281816,112.796357,254.25,-1.48,1.76,1.12
2277940,-7.282391,112.797163,256.50,0.82,1.70,1.13
2277950,-7.281508,112.796629,258.75,-1.07,1.11,-0.59
2277960,-7.282103,112.796821,261.00,-1.77,0.75,-0.40
2277970,-7.282171,112.796296,263.25,-0.26,0.35,0.30
2277980,-7.281804,112.796505,265.50,0.05,-1.78,1.63
2277990,-7.281098,112.797156,267.75,-1.05,1.39,1.94
2278000,-7.281298,112.796538,270.00,-1.33,1.27,1.63
2278010,-7.281472,112.796978,272.25,-0.25,1.63,0.33
2278020,-7.281640,112.797085,274.50,-0.31,-0.82,0.48
2278030,-7.281410,112.797091,276.75,1.06,-1.97,1.39
2278040,-7.280952,112.796912,279.00,-0.52,1.50,-0.06
2278050,-7.281014,112.796413,281.25,-1.06,0.01,-1.26
2278060,-7.280584,112.796619,283.50,-0.41,1.19,0.95
2278070,-7.281233,112.796824,285.75,0.38,-0.55,0.08
2278080,-7.281042,112.797179,288.00,0.96,1.94,1.99
2278090,-7.280570,112.796372,290.25,0.91,-1.69,1.37
2278100,-7.280358,112.797225,292.50,-0.18,1.45,1.70
2278110,-7.280559,112.797191,294.75,0.10,1.67,-0.82
2278120,-7.280377,112.796554,297.00,-1.19,-0.83,-0.94
2278130,-7.280701,112.796409,299.25,0.96,0.73,1.73
2278140,-7.279800,112.796532,301.50,-0.55,-1.80,1.02
2278150,-7.279759,112.796814,303.75,0.61,-1.65,0.72
2278160,-7.280074,112.796953,306.00,0.29,0.29,-0.70
2278170,-7.279997,112.796867,308.25,-0.41,1.68,-0.36
2278180,-7.280270,112.796871,310.50,1.50,-0.22,0.13
2278190,-7.280188,112.797434,312.75,-1.97,-1.76,1.96
2278200,-7.279780,112.797340,315.00,-0.95,0.56,-0.64
2278210,-7.279719,112.796968,317.25,1.51,0.31,-0.15
2278220,-7.280053,112.797153,319.50,-1.58,-0.22,-1.33
2278230,-7.279995,112.797394,321.75,0.39,0.84,1.72
2278240,-7.279870,112.797407,324.00,0.88,-0.23,1.53
2278250,-7.279148,112.797819,326.25,-1.06,-0.47,1.03
2278260,-7.279073,112.797327,328.50,1.82,0.86,-0.67
2278270,-7.278976,112.797995,330.75,0.87,1.05,0.05
2278280,-7.279189,112.797513,333.00,0.20,-1.82,-0.69
2278290,-7.279576,112.797373,335.25,0.91,-0.65,-1.92
2278300,-7.279576,112.797941,337.50,1.06,1.64,1.93
2278310,-7.279098,112.798338,339.75,1.84,1.68,-0.29
2278320,-7.279207,112.798360,342.00,0.99,1.06,-1.94
2278330,-7.278797,112.797719,344.25,-1.48,-0.29,-0.05
2278340,-7.278543,112.798075,346.50,1.63,-0.40,1.98
2278350,-7.279426,112.798838,348.75,1.12,-1.91,-0.75
2278360,-7.279233,112.798971,351.00,-1.00,-1.94,0.89
2278370,-7.279378,112.798203,353.25,-1.33,1.53,-0.78
2278380,-7.278976,112.798808,355.50,-1.97,0.20,-0.40
2278390,-7.279134,112.799193,357.75,-0.55,0.52,-1.50
2278400,-7.280395,112.798859,0.00,-0.88,-1.74,0.03
2278410,-7.280862,112.799382,2.25,0.06,-0.77,-1.23
2278420,-7.280228,112.799357,4.50,-0.47,-0.47,-0.46
2278430,-7.279967,112.798548,6.75,1.31,1.24,-1.16
2278440,-7.280868,112.798593,9.00,0.54,0.84,1.66
2278450,-7.280452,112.798790,11.25,0.00,-1.81,-0.75
2278460,-7.280492,112.799527,13.50,-1.95,1.88,-1.87
2278470,-7.280942,112.798697,15.75,0.86,0.06,0.07
2278480,-7.280614,112.798805,18.00,0.25,-0.01,-0.39
2278490,-7.280113,112.798801,20.25,0.69,0.93,-1.53
2278500,-7.280148,112.799693,22.50,-0.80,-1.95,-1.11
2278510,-7.280410,112.798947,24.75,-0.69,-1.92,-0.86
2278520,-7.280349,112.799459,27.00,0.28,1.46,0.21
2278530,-7.280046,112.799644,29.25,0.03,-0.76,0.25
2278540,-7.280866,112.799448,31.50,0.48,-1.82,-1.56
2278550,-7.280699,112.799588,33.75,1.22,0.30,-1.26
2278560,-7.280423,112.799831,36.00,-0.42,-1.36,-0.28
2278570,-7.280399,112.799718,38.25,-0.40,-1.82,-1.18
2278580,-7.280564,112.799480,40.50,-1.09,-1.44,-1.28
2278590,-7.280813,112.799407,42.75,-0.36,-0.91,-0.12
2278600,-7.280981,112.800151,45.00,-1.41,0.38,-0.23
2278610,-7.280241,112.799728,47.25,-1.63,0.32,-1.00
2278620,-7.280566,112.799734,49.50,0.25,-1.04,0.09
2278630,-7.280353,112.800147,51.75,0.82,-0.46,-1.96
2278640,-7.280535,112.799923,54.00,-1.55,-0.94,-0.50
2278650,-7.280478,112.799526,56.25,-0.95,-0.42,-0.02
2278660,-7.280375,112.799601,58.50,-0.49,-1.23,0.13
2278670,-7.280834,112.800419,60.75,-1.01,1.60,-1.75
2278680,-7.280593,112.800227,63.00,1.10,0.21,1.40
2278690,-7.280626,112.800042,65.25,-1.01,-0.75,-0.90
2278700,-7.280864,112.799740,67.50,1.43,1.81,-0.01
2278710,-7.281353,112.799966,69.75,1.71,0.93,-0.45
2278720,-7.280977,112.799789,72.00,0.46,1.25,-0.60
2278730,-7.281427,112.799889,74.25,0.57,0.65,0.59
2278740,-7.281488,112.800104,76.50,-0.03,1.39,1.70
2278750,-7.281178,112.800019,78.75,0.12,1.40,0.52
